TERM,SNOMED_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Urine glucose test = ++++,167267003,71.000,71.000,38,6480,0.005864,42,1.11,NaN,NaN,,NaN
NHS Health Check raising awareness about dementia and memory clinics,870991000000101,68.000,67.000,38,6480,0.005864,40,1.05,,,,
Acute non-ST segment elevation myocardial infarction,401314000,70.500,70.500,38,6480,0.005864,96,2.53,NaN,NaN,NaN,NaN
Hepatitis C antibody test,1008931000000108,71.000,70.500,37,6480,0.00571,38,1.03,NaN,NaN,NaN,NaN
Urinalysis - general,167217005,67.000,67.000,37,6480,0.00571,41,1.11,,,,
Post bronchodilator spirometry,774951000000101,73.000,73.000,37,6480,0.00571,39,1.05,NaN,NaN,NaN,NaN
Cancer diagnosis discussed,395081000,70.000,70.000,37,6480,0.00571,38,1.03,,,,
Discussion about treatment,223484005,75.500,75.000,37,6480,0.00571,66,1.78,NaN,NaN,NaN,NaN
Apyrexial,86699002,78.000,78.000,37,6480,0.00571,45,1.22,NaN,NaN,NaN,NaN
Seen in musculoskeletal clinic,427933004,78.000,77.000,37,6480,0.00571,53,1.43,,,,
Does not have a carer,414041006,79.000,78.000,37,6480,0.00571,41,1.11,NaN,NaN,NaN,NaN
Medication monitoring,395170001,75.500,75.000,37,6480,0.00571,60,1.62,NaN,NaN,NaN,NaN
Collection of blood specimen for laboratory,82078001,81.000,80.500,37,6480,0.00571,64,1.73,,,,
Referral needed,183924009,74.000,74.000,37,6480,0.00571,41,1.11,,,,
Breathlessness,267036007,74.500,74.000,37,6480,0.00571,44,1.19,NaN,NaN,,NaN
ECG: sinus rhythm,426783006,75.000,75.000,37,6480,0.00571,39,1.05,NaN,NaN,NaN,NaN
CT of head,303653007,80.500,80.500,37,6480,0.00571,42,1.14,NaN,NaN,NaN,NaN
Provision of patient satisfaction questionnaire,711124002,70.000,70.000,37,6480,0.00571,52,1.41,NaN,NaN,,NaN
FAST (Fast Alcohol Screening Test) score,1084601000000102,67.000,66.000,37,6480,0.00571,37,1,0.6875,0,1.424157929,0
NHS Health Check verbal invitation,522261000000101,63.500,63.000,37,6480,0.00571,38,1.03,,,,
Informed consent for cervical smear given,206231000000105,60.000,59.000,37,6480,0.00571,37,1,NaN,NaN,NaN,NaN
Appetite normal,161825005,80.000,79.000,37,6480,0.00571,39,1.05,NaN,NaN,NaN,NaN
Social prescribing offered,871691000000100,76.000,76.000,37,6480,0.00571,54,1.46,,,,
Radiology requested,168495003,75.000,74.000,37,6480,0.00571,42,1.14,0,0,,0
GPPAQ hrs last wk spent physical exercise-1hr but less than 3hrs,1746261000006105,73.000,72.000,37,6480,0.00571,37,1,NaN,NaN,,NaN
Under care of podiatrist,305599003,78.000,78.000,37,6480,0.00571,43,1.16,NaN,NaN,NaN,NaN
Smoking cessation programme declined,1087441000000106,66.500,66.000,37,6480,0.00571,40,1.08,,,,
Referral to district nurse,308436005,84.000,84.000,37,6480,0.00571,51,1.38,NaN,NaN,,NaN
Grade 1 - no limitation of ordinary activity,806241000006100,75.000,74.000,37,6480,0.00571,39,1.05,NaN,NaN,NaN,NaN
O/E patient well,271300009,78.000,77.000,36,6480,0.005556,56,1.56,NaN,NaN,NaN,NaN
Patient's condition stable,359746009,77.000,77.000,36,6480,0.005556,56,1.56,NaN,NaN,NaN,NaN
Patient given telephone advice out of hours,313184003,73.500,73.500,36,6480,0.005556,50,1.39,,,,
Raised blood pressure,24184005,70.000,69.500,36,6480,0.005556,68,1.89,NaN,NaN,NaN,NaN
Test request : Prostate-Specific Antigen,110061000006102,66.000,65.500,36,6480,0.005556,38,1.06,,,,
Cigarette pack-years,401201003,73.000,73.000,36,6480,0.005556,37,1.03,38.597222222,36.5,34.298233908,40
Mentally alert,248234008,78.000,77.000,36,6480,0.005556,47,1.31,,,,
Serum total iron binding capacity,1015451000000101,76.000,75.500,36,6480,0.005556,38,1.06,57.755263158,58,11.76064664,63
Plasma albumin level,1013361000000105,77.000,76.000,36,6480,0.005556,56,1.56,38.894642857,39,3.633151382,40
ORBIT-AF (Outcomes Registry for Better Informed Treatment of Atrial Fibrillation) bleeding risk score,1362861000000107,81.000,80.000,36,6480,0.005556,44,1.22,2.159090909,2,1.583977652,2
Test request : Thyroid Function Test,110161000006103,71.000,70.500,36,6480,0.005556,40,1.11,,,,
Seen in hospital out-pat.,185211000,66.000,65.000,36,6480,0.005556,61,1.69,,,,
Colonoscopy report received,859871000000102,73.500,73.000,36,6480,0.005556,38,1.06,NaN,NaN,NaN,NaN
Polypharmacy medication review,870661000000100,79.000,79.000,36,6480,0.005556,37,1.03,,,,
Does not fall,298345007,81.000,80.000,36,6480,0.005556,37,1.03,,,,
Medication increased,182878004,74.500,73.500,36,6480,0.005556,44,1.22,,,,
Hiatus hernia,84089009,71.500,71.000,36,6480,0.005556,42,1.17,NaN,NaN,,NaN
Discharged from follow-up,275647001,77.000,77.000,36,6480,0.005556,43,1.19,,,,
Fast track referral for suspected head and neck cancer,280521000000108,75.000,74.000,36,6480,0.005556,39,1.08,,,,
Patient registration,184047000,66.000,65.000,36,6480,0.005556,37,1.03,,,,
Preferred method of contact: mobile tel. number,1929341000006101,72.000,71.000,36,6480,0.005556,37,1.03,,,,
Ex-smoker annual review,505761000000105,76.000,75.000,36,6480,0.005556,39,1.08,NaN,NaN,,NaN
Discharge report,25571000000103,72.000,72.000,36,6480,0.005556,54,1.5,NaN,NaN,NaN,NaN
Plain X-ray shoulder joint,29592009,76.000,75.000,36,6480,0.005556,37,1.03,NaN,NaN,,NaN
Endoscopy carried out,165138005,70.000,70.000,36,6480,0.005556,37,1.03,NaN,NaN,NaN,NaN
Stroke/transient ischaemic attack monitoring first letter,415628004,77.000,76.000,36,6480,0.005556,37,1.03,NaN,NaN,NaN,NaN
Private referral to urologist,183889001,71.000,71.000,36,6480,0.005556,41,1.14,,,,
"Respiratory microscopy, culture and sensitivities",995481000000100,71.000,70.500,36,6480,0.005556,48,1.33,NaN,0.45,NaN,0
Glaucoma,23986001,73.000,73.000,36,6480,0.005556,67,1.86,NaN,NaN,NaN,NaN
Failed encounter - message left with household member,185339001,72.000,72.000,36,6480,0.005556,37,1.03,NaN,NaN,NaN,NaN
"eMED3 (2010) duplicate issued, not fit for work",751621000000103,61.500,61.000,35,6480,0.005401,56,1.6,NaN,NaN,NaN,NaN
Feels unwell,367391008,72.000,71.000,35,6480,0.005401,43,1.23,NaN,NaN,,NaN
Date ceased smoking,160625004,65.000,64.500,35,6480,0.005401,36,1.03,NaN,NaN,,NaN
Advised to see dentist,201711000000103,78.000,77.000,35,6480,0.005401,39,1.11,,,,
Atrial fibrillation not detected,1067061000000104,79.000,79.000,35,6480,0.005401,47,1.34,NaN,NaN,NaN,NaN
Test request : Lipids,109931000006101,71.000,70.000,35,6480,0.005401,39,1.11,,,,
Housebound,160689007,84.000,83.000,35,6480,0.005401,44,1.26,NaN,NaN,NaN,NaN
Seen in breast clinic,185271006,69.000,68.000,35,6480,0.005401,45,1.29,NaN,NaN,,NaN
Postmenopausal bleeding,76742009,71.000,70.000,35,6480,0.005401,59,1.69,NaN,NaN,,NaN
No FH: Ischaemic heart dis >60,857511000006107,66.000,65.000,35,6480,0.005401,37,1.06,NaN,NaN,,NaN
Low mood,366979004,69.000,69.000,35,6480,0.005401,49,1.4,NaN,NaN,NaN,NaN
Serum kappa:lambda light chain ratio,1000231000000100,77.000,77.000,35,6480,0.005401,38,1.09,1.835189189,1.32,1.920430418,1.32
Cellulitis,128045006,77.000,76.000,35,6480,0.005401,52,1.49,NaN,NaN,NaN,NaN
Plasma alkaline phosphatase level,1013041000000106,77.000,76.000,35,6480,0.005401,55,1.57,117.163636364,87,82.826629203,57
Self-administration of medication,225425006,78.000,77.000,35,6480,0.005401,38,1.09,NaN,NaN,NaN,NaN
Random blood sample taken,1849801000006101,75.000,74.000,35,6480,0.005401,77,2.2,NaN,NaN,,NaN
At risk of diabetes mellitus,161641009,72.000,72.000,35,6480,0.005401,37,1.06,NaN,NaN,NaN,NaN
Diabetic - good control,170763003,77.000,76.500,35,6480,0.005401,40,1.14,NaN,NaN,NaN,NaN
Depressed mood,366979004,65.000,65.000,35,6480,0.005401,53,1.51,NaN,NaN,,NaN
Dementia care plan reviewed,956861000000107,85.000,85.000,35,6480,0.005401,41,1.17,,,,
Urine smell abnormal,8769003,74.000,74.000,35,6480,0.005401,37,1.06,NaN,NaN,,NaN
Blood urea/renal function,1028131000000104,59.000,58.000,35,6480,0.005401,43,1.23,5.37,5.4,1.518129754,8.9
Leg pain,10601006,69.000,68.500,35,6480,0.005401,48,1.37,,,,
Hypertension six month review,401048005,71.000,70.000,35,6480,0.005401,37,1.06,,,,
Endoscopy report received,859851000000106,78.000,77.000,35,6480,0.005401,42,1.2,NaN,NaN,,NaN
Anticoagulant medication review,922731000000106,79.000,78.500,35,6480,0.005401,38,1.09,NaN,NaN,,NaN
Heart failure review completed,202231000000106,77.000,76.000,35,6480,0.005401,39,1.11,NaN,NaN,,NaN
3D study - agreed goal 1,1932131000006102,74.000,73.000,34,6480,0.005247,37,1.09,,,,
Medical report sent,185009000,63.000,63.000,34,6480,0.005247,40,1.18,NaN,NaN,NaN,NaN
Tinnitus,60862001,73.000,72.000,34,6480,0.005247,40,1.18,NaN,NaN,NaN,NaN
ECG requested,164846002,75.000,74.000,34,6480,0.005247,37,1.09,NaN,NaN,,NaN
Repeat prescription monitoring,170922004,78.000,77.500,34,6480,0.005247,66,1.94,NaN,NaN,NaN,NaN
Ambulatory blood pressure recording,164783007,70.000,70.000,34,6480,0.005247,45,1.32,NaN,NaN,NaN,NaN
Liquid based cervical cytology screening,417036008,56.500,56.500,34,6480,0.005247,34,1,NaN,NaN,NaN,NaN
Productive cough -clear sputum,161923004,78.500,78.500,34,6480,0.005247,36,1.06,NaN,NaN,NaN,NaN
Urine specific gravity normal,167242001,76.000,76.000,34,6480,0.005247,41,1.21,NaN,NaN,NaN,NaN
Referral to pulmonary rehabilitation,24461000000105,74.000,73.500,34,6480,0.005247,40,1.18,NaN,NaN,,NaN
Plasma total bilirubin level,997561000000103,78.000,77.000,34,6480,0.005247,55,1.62,11.290909091,11,4.609461796,12
O/E - joint movement NAD,164531002,72.500,72.000,34,6480,0.005247,36,1.06,,,,
US pelvic scan,24848001,65.000,65.000,34,6480,0.005247,38,1.12,NaN,NaN,,NaN
Rheumatoid arthritis annual review,847261000000104,74.000,74.000,34,6480,0.005247,45,1.32,,,,
Radiology report,371527006,73.000,73.000,34,6480,0.005247,39,1.15,NaN,NaN,NaN,NaN
Adheres to medication regimen,829061000000103,81.000,80.500,34,6480,0.005247,42,1.24,NaN,NaN,NaN,NaN
Removal of skin sutures/clips,184043001,76.000,75.000,34,6480,0.005247,36,1.06,,,,
Seen by health care assistant,199431000000104,74.500,74.000,34,6480,0.005247,44,1.29,,,,
Serum kappa light chain level,1002591000000103,76.000,76.000,34,6480,0.005247,37,1.09,44.420810811,29.08,42.416148614,22.1
Test request : Micros Culture & Sensitivity,109981000006100,68.500,68.500,34,6480,0.005247,42,1.24,,,,
No FH: Ischaemic heart disease,266882009,70.000,69.000,34,6480,0.005247,35,1.03,NaN,NaN,,NaN
Health education - weight management,410200000,72.000,71.000,34,6480,0.005247,37,1.09,NaN,NaN,,NaN
Urine ketone test = trace,167288007,73.000,72.000,33,6480,0.005093,33,1,NaN,NaN,,NaN
Resource used,1856141000006102,76.000,75.000,33,6480,0.005093,139,4.21,NaN,NaN,NaN,NaN
Diabetes management plan given,170742000,73.000,72.000,33,6480,0.005093,39,1.18,NaN,NaN,NaN,NaN
Seen in day surgery unit,726001000000108,81.000,81.000,33,6480,0.005093,57,1.73,NaN,NaN,NaN,NaN
Smoking cessation drug therapy declined,822591000000108,69.500,69.500,33,6480,0.005093,34,1.03,,,,
Urine pH = 6.5,167309000,74.000,73.000,33,6480,0.005093,34,1.03,NaN,NaN,NaN,NaN
Patient encounter administration data,716231000000102,73.000,72.500,33,6480,0.005093,90,2.73,,,,
Bronchodilator used infrequently,824481000000100,77.000,76.000,33,6480,0.005093,35,1.06,NaN,NaN,NaN,NaN
Carpal tunnel syndrome,57406009,73.000,73.000,33,6480,0.005093,50,1.52,NaN,NaN,NaN,NaN
O/E - No foot callus present,414899008,72.000,72.000,33,6480,0.005093,38,1.15,,,,
Encounter administration,713511000000103,80.000,79.000,33,6480,0.005093,37,1.12,NaN,NaN,NaN,NaN
Polymyalgia rheumatica,65323003,74.000,74.000,33,6480,0.005093,102,3.09,NaN,NaN,NaN,NaN
Osteoarthritis of hip,239872002,76.000,75.000,33,6480,0.005093,51,1.55,NaN,NaN,,NaN
Endoscopy of stomach,386831001,72.000,72.000,33,6480,0.005093,35,1.06,NaN,NaN,NaN,NaN
Emergency asthma patient visit since last encounter,708373002,65.000,65.000,33,6480,0.005093,35,1.06,0.02857142857,0,0.1690308509,0
Hepatitis B surface antigen level,1014211000000100,71.000,70.500,33,6480,0.005093,34,1.03,NaN,NaN,,NaN
Gastritis,4556007,69.000,69.000,33,6480,0.005093,38,1.15,NaN,NaN,,NaN
Drug changed to cost effective alternative,408374000,73.500,73.000,33,6480,0.005093,36,1.09,NaN,NaN,NaN,NaN
Discussed with patient,395085009,74.000,74.000,33,6480,0.005093,43,1.3,NaN,NaN,,NaN
Blepharitis,41446000,76.000,76.000,33,6480,0.005093,41,1.24,NaN,NaN,NaN,NaN
Injection of steroid into knee joint,301877006,79.000,78.000,33,6480,0.005093,39,1.18,NaN,NaN,NaN,NaN
Palpitations,80313002,71.000,70.000,33,6480,0.005093,47,1.42,NaN,NaN,NaN,NaN
Adult screening,171302002,64.000,64.000,33,6480,0.005093,61,1.85,NaN,NaN,NaN,NaN
Aerobic exercise three or more times per week,160639004,75.000,74.500,33,6480,0.005093,36,1.09,NaN,NaN,,NaN
Seen by receptionist,185299002,79.000,78.000,33,6480,0.005093,90,2.73,NaN,NaN,NaN,NaN
2 week rule referral - upper GI,831341000006105,76.000,76.000,33,6480,0.005093,35,1.06,NaN,NaN,,NaN
NHS Health Check invitation,523241000000107,66.000,65.500,33,6480,0.005093,34,1.03,,,,
Dermatology referral,904841000006100,77.000,76.000,33,6480,0.005093,37,1.12,NaN,NaN,NaN,NaN
FEV1/FVC ratio,251944000,67.000,66.500,33,6480,0.005093,34,1.03,NaN,65,NaN,66
Self-help advice leaflet given,183096003,74.000,74.000,33,6480,0.005093,34,1.03,NaN,NaN,NaN,NaN
Seen in renal clinic,185250001,76.000,76.000,32,6480,0.004938,57,1.78,NaN,NaN,NaN,NaN
Inguinal hernia,396232000,75.000,75.000,32,6480,0.004938,49,1.53,NaN,NaN,,NaN
Estimation of creatinine clearance by Cockcroft-Gault formula,442407001,79.000,79.000,32,6480,0.004938,47,1.47,NaN,NaN,NaN,NaN
Pain of knee region,1003722009,77.000,77.000,32,6480,0.004938,41,1.28,,,,
Transitional cell papilloma AND/OR carcinoma,118287003,66.000,65.000,32,6480,0.004938,69,2.16,NaN,NaN,NaN,NaN
Clostridium difficile glutamate dehydrogenase immunoassay,1004331000000100,76.000,76.000,32,6480,0.004938,35,1.09,NaN,NaN,NaN,NaN
Seen in endocrine clinic,185255006,70.500,70.000,32,6480,0.004938,46,1.44,NaN,NaN,NaN,NaN
Vital capacity,268379003,73.000,72.000,32,6480,0.004938,33,1.03,3.056969697,3.1,0.7811069263,1.98
Physical activity opportunity signposted,526371000000102,72.000,71.500,32,6480,0.004938,36,1.13,NaN,NaN,NaN,NaN
Dry eyes,162290004,76.000,75.000,32,6480,0.004938,43,1.34,NaN,NaN,NaN,NaN
SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result positive,1322781000000102,70.500,70.500,32,6480,0.004938,48,1.5,NaN,NaN,NaN,NaN
Shared decision making,815691000000107,78.000,77.000,32,6480,0.004938,40,1.25,NaN,NaN,NaN,NaN
Test request : Creatinine,109761000006107,71.000,70.000,32,6480,0.004938,40,1.25,,,,
Patient given information,103313004,76.000,75.000,32,6480,0.004938,39,1.22,NaN,NaN,,NaN
Long term condition care planning invitation first letter,912681000000107,73.000,73.000,32,6480,0.004938,33,1.03,,,,
Patient's condition the same,359748005,75.000,74.500,32,6480,0.004938,62,1.94,NaN,NaN,,NaN
Patient contact details verified,903081000000107,67.500,67.000,32,6480,0.004938,76,2.38,NaN,NaN,NaN,NaN
Ophthalmology referral,904591000006106,78.000,77.000,32,6480,0.004938,35,1.09,,,,
Diverticulitis,307496006,77.000,76.000,32,6480,0.004938,50,1.56,,,,
Altered bowel function,88111009,78.000,77.000,32,6480,0.004938,61,1.91,NaN,NaN,NaN,NaN
White blood count,1022541000000102,69.000,69.000,32,6480,0.004938,61,1.91,90.261607143,17.75,198.727178512,3
Standing blood pressure reading,163034007,84.000,84.000,32,6480,0.004938,41,1.28,,,,
Mitochondrial antibody screening test,1016761000000101,74.000,74.000,32,6480,0.004938,35,1.09,NaN,NaN,,NaN
Patient on maximal tolerated antihypertensive therapy,407567007,74.500,74.000,32,6480,0.004938,32,1,NaN,NaN,,NaN
C/O erectile dysfunction,473327001,71.000,70.500,32,6480,0.004938,38,1.19,NaN,NaN,,NaN
Test request : Serum electrolytes,109791000006104,70.500,70.000,32,6480,0.004938,44,1.38,,,,
Raised prostate specific antigen,396152005,74.000,74.000,32,6480,0.004938,49,1.53,NaN,NaN,,NaN
Breathless - mild exertion,161940008,75.000,74.000,32,6480,0.004938,35,1.09,NaN,NaN,NaN,NaN
Test request : Blood Glucose,109701000006106,71.000,70.000,32,6480,0.004938,35,1.09,,,,
Urine protein not detected,167273002,76.000,76.000,32,6480,0.004938,41,1.28,NaN,NaN,NaN,NaN
Urine ketones not detected,167287002,76.000,76.000,32,6480,0.004938,49,1.53,NaN,NaN,NaN,NaN
Coronary heart disease monitoring first letter,401250009,80.500,80.000,32,6480,0.004938,34,1.06,NaN,NaN,NaN,NaN
D-dimer level,1019221000000107,77.000,76.500,32,6480,0.004938,38,1.19,NaN,2.69,NaN,0.5
Falls,161898004,82.000,81.000,32,6480,0.004938,37,1.16,NaN,NaN,NaN,NaN
HAS-BLED bleeding risk score,704180000,82.000,81.000,32,6480,0.004938,39,1.22,1.820512821,2,0.6833275731,2
Abnormal weight loss,267024001,75.000,74.000,32,6480,0.004938,47,1.47,NaN,NaN,NaN,NaN
Admission avoidance care started,797151000000101,80.000,79.000,32,6480,0.004938,39,1.22,NaN,NaN,,NaN
Insomnia,193462001,72.500,72.500,32,6480,0.004938,36,1.13,NaN,NaN,,NaN
Gallstone,256896000,77.000,77.000,32,6480,0.004938,51,1.59,NaN,NaN,NaN,NaN
Asthma treatment compliance satisfactory,370226009,67.500,66.500,32,6480,0.004938,34,1.06,NaN,NaN,,NaN
Bowel cancer screening declined,294201000000109,67.000,66.000,31,6480,0.004784,31,1,NaN,NaN,NaN,NaN
Opportunistic verification of patient mobile telephone number,515201000000103,75.000,74.000,31,6480,0.004784,32,1.03,NaN,NaN,,NaN
Right brachial Doppler pressure,1084161000000107,77.000,76.000,31,6480,0.004784,32,1.03,136.516129032,138,16.830272265,130
Did not attend diabetic retinopathy clinic,199301000000100,65.500,64.500,31,6480,0.004784,36,1.16,NaN,NaN,NaN,NaN
No FH: Hypertension,160273004,70.000,69.500,31,6480,0.004784,32,1.03,NaN,NaN,,NaN
O/E - regular pulse,162999005,80.000,80.000,31,6480,0.004784,43,1.39,87,87,5.656854249,83
CT of abdomen,169070004,76.000,76.000,31,6480,0.004784,31,1,NaN,NaN,NaN,NaN
Right dorsalis pedis Doppler pressure,1087541000000105,77.000,76.000,31,6480,0.004784,31,1,138.266666667,134,22.636457218,132
New patient consultation,185387006,75.000,75.000,31,6480,0.004784,35,1.13,NaN,NaN,NaN,NaN
Plantar fasciitis,202882003,65.000,65.000,31,6480,0.004784,37,1.19,,,,
Productive cough-yellow sputum,161925006,75.000,75.000,31,6480,0.004784,31,1,NaN,NaN,NaN,NaN
Bronchodilators used more than once daily,170629006,71.000,70.000,31,6480,0.004784,32,1.03,NaN,NaN,NaN,NaN
Accidental fall,217082002,86.000,85.500,31,6480,0.004784,44,1.42,NaN,NaN,,NaN
Diabetic on insulin and oral treatment,314194001,73.000,72.000,31,6480,0.004784,41,1.32,NaN,NaN,,NaN
New patient questionnaire completed,184147002,72.000,71.500,31,6480,0.004784,32,1.03,NaN,NaN,NaN,NaN
Impacted wax,18070006,71.000,70.000,31,6480,0.004784,46,1.48,NaN,NaN,,NaN
Peak flow meter at home,170639000,73.500,73.000,31,6480,0.004784,32,1.03,NaN,NaN,,NaN
Issue of standby emergency medication,1859321000006100,78.000,78.000,31,6480,0.004784,35,1.13,NaN,NaN,NaN,NaN
Out of hours patient call detail received,517181000000105,75.000,74.000,31,6480,0.004784,44,1.42,,,,
"10 yr CHD risk (Estimate,Fram.)",433101000006103,65.500,64.500,31,6480,0.004784,44,1.42,17.954545455,18,6.408404893,18
COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message invitation,1066281000000104,78.000,78.000,31,6480,0.004784,43,1.39,NaN,NaN,NaN,NaN
Consultant letter from:,16821000000104,68.000,67.500,31,6480,0.004784,52,1.68,,,,
Hypertension,38341003,73.000,72.000,31,6480,0.004784,43,1.39,,,,
Ankle pain,247373008,76.000,75.000,31,6480,0.004784,42,1.35,NaN,NaN,,NaN
Liver function tests - general,1031081000000108,62.500,62.000,31,6480,0.004784,38,1.23,NaN,NaN,NaN,NaN
Discharge from physiotherapy service,306635009,78.000,78.000,31,6480,0.004784,31,1,NaN,NaN,,NaN
Repeated prescription,182918009,70.000,68.000,30,6480,0.00463,65,2.17,NaN,NaN,NaN,NaN
Email sent to consultant,408563008,78.000,78.000,30,6480,0.00463,35,1.17,,,,
Left dorsalis pedis Doppler pressure,1087531000000101,77.500,76.500,30,6480,0.00463,30,1,144,142,23.997023625,134
All over the counter medication checked,408368000,73.000,72.000,30,6480,0.00463,30,1,NaN,NaN,NaN,NaN
On examination - left popliteal pulse present,163116005,74.500,74.000,30,6480,0.00463,32,1.07,NaN,NaN,,NaN
Musculoskeletal chest pain,281245003,66.000,65.500,30,6480,0.00463,32,1.07,NaN,NaN,,NaN
Treatment room services enhanced services administration,729791000000109,81.000,81.000,30,6480,0.00463,67,2.23,,,,
Acquired hypothyroidism,111566002,66.000,65.000,30,6480,0.00463,54,1.8,NaN,NaN,NaN,NaN
Chronic obstructive pulmonary disease self-management plan review,810951000000101,77.000,77.000,30,6480,0.00463,32,1.07,NaN,NaN,NaN,NaN
Advice to patient - subject,183049006,69.000,69.000,30,6480,0.00463,35,1.17,,,,
Histopathology test,252416005,72.000,71.500,30,6480,0.00463,30,1,0,0,,0
Serum FSH (follicle stimulating hormone) level,1023191000000105,58.000,57.000,30,6480,0.00463,35,1.17,43.357058824,18.45,42.124265269,56.2
