TERM,SNOMED_ID,MEDIAN_SNOMED_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_EVENT_COUNT,AVG_EVENTS_PER_PATIENT,AVG_VALUE,MEDIAN_VALUE,STD_VALUE,FREQ_VALUE
Recurrent depression,191616006,69.000,104,277829,0.000374,186,1.79,NaN,NaN,NaN,NaN
Intermittent pain,314642004,69.000,104,277829,0.000374,171,1.64,NaN,NaN,NaN,NaN
Initial respiratory assessment,170608002,69.000,104,277829,0.000374,114,1.1,NaN,NaN,NaN,NaN
Online access to local general practice service declined,1025721000000105,69.000,104,277829,0.000374,107,1.03,,,,
Hypertension monitoring SMS (short message service) text message third invitation,1066971000000105,69.000,104,277829,0.000374,127,1.22,NaN,NaN,NaN,NaN
Stool sample for C/S,168316002,69.000,104,277829,0.000374,112,1.08,NaN,NaN,NaN,NaN
Epididymitis,31070006,69.000,104,277829,0.000374,143,1.38,NaN,NaN,NaN,NaN
Sinus tachycardia,11092001,69.000,104,277829,0.000374,136,1.31,NaN,NaN,NaN,NaN
H/O: vertigo,275543009,69.000,104,277829,0.000374,129,1.24,NaN,NaN,NaN,NaN
Signposting to health and wellbeing worker,1085371000000101,70.000,104,277829,0.000374,106,1.02,,,,
Forced expired volume in 1 second reversibility,445466003,69.000,104,277829,0.000374,106,1.02,6.729326923,1.935,18.12217133,70
Pain control,225782006,69.000,104,277829,0.000374,138,1.33,NaN,NaN,NaN,NaN
Full consent for immunisation,171263007,69.000,104,277829,0.000374,117,1.13,NaN,NaN,NaN,NaN
Rotator cuff,7885001,69.000,104,277829,0.000374,130,1.25,NaN,NaN,NaN,NaN
Emergency consultation note,37301000000106,69.000,104,277829,0.000374,105,1.01,NaN,NaN,NaN,NaN
Same day appointment,1931821000006103,69.000,104,277829,0.000374,126,1.21,NaN,NaN,,NaN
Suicidal thoughts,6471006,69.000,104,277829,0.000374,134,1.29,NaN,NaN,NaN,NaN
Chronic pain review,860381000000107,69.000,104,277829,0.000374,129,1.24,NaN,NaN,NaN,NaN
Tingling of skin,274676007,69.000,104,277829,0.000374,132,1.27,NaN,NaN,NaN,NaN
FH: Osteoporosis,160313009,69.000,104,277829,0.000374,107,1.03,NaN,NaN,NaN,NaN
Abdominal aortic aneurysm screen ultrasound scan normal,809081000000100,69.000,104,277829,0.000374,107,1.03,NaN,NaN,NaN,NaN
Treatment for hypertension started,170586008,69.000,104,277829,0.000374,108,1.04,NaN,NaN,NaN,NaN
Xerostomia,87715008,70.000,103,277829,0.000371,135,1.31,NaN,NaN,NaN,NaN
Ex-cigar smoker,160621008,69.000,103,277829,0.000371,108,1.05,NaN,4,NaN,1
Repeat prescription-computer,184228008,69.000,103,277829,0.000371,161,1.56,NaN,NaN,NaN,NaN
Difficulty sleeping,301345002,70.000,103,277829,0.000371,125,1.21,NaN,NaN,NaN,NaN
Has a paid carer,818091000000106,69.000,103,277829,0.000371,106,1.03,NaN,NaN,NaN,NaN
Solitary nodule of lung,427359005,69.000,103,277829,0.000371,135,1.31,NaN,NaN,NaN,NaN
Insertion of ring into vagina,176726001,69.000,103,277829,0.000371,144,1.4,NaN,NaN,NaN,NaN
Suspected upper gastrointestinal cancer,315273002,69.000,103,277829,0.000371,103,1,NaN,NaN,NaN,NaN
Diabetic macular oedema,312912001,69.000,103,277829,0.000371,186,1.81,NaN,NaN,NaN,NaN
No finger clubbing,707199000,69.000,103,277829,0.000371,105,1.02,NaN,NaN,NaN,NaN
Excepted from CHD quality indicators - patient unsuitable,717111000000104,70.000,103,277829,0.000371,108,1.05,,,,
Deafness symptom,272033007,69.000,103,277829,0.000371,131,1.27,NaN,NaN,NaN,NaN
O/E - SLR reduced on left,164570008,69.000,103,277829,0.000371,106,1.03,NaN,NaN,NaN,NaN
Urine culture - no growth,167568007,70.000,103,277829,0.000371,129,1.25,NaN,NaN,NaN,NaN
Seen by nurse practitioner,305757002,69.000,103,277829,0.000371,132,1.28,NaN,NaN,,NaN
Diaphragmatic hernia,39839004,69.000,103,277829,0.000371,315,3.06,NaN,NaN,NaN,NaN
Senile macular degeneration,267718000,69.000,103,277829,0.000371,122,1.18,NaN,NaN,NaN,NaN
Frequency of hospital-treated hypoglycaemia attack,712660009,69.000,103,277829,0.000371,107,1.04,0,0,0,0
Clopidogrel declined,407583007,69.000,103,277829,0.000371,107,1.04,NaN,NaN,NaN,NaN
Advice about common side effects of drug treatment,1960951000006102,69.000,103,277829,0.000371,108,1.05,NaN,NaN,NaN,NaN
Monoclonal gammopathy of uncertain significance,277577000,69.000,103,277829,0.000371,144,1.4,NaN,NaN,NaN,NaN
Abdominal pain type,247358007,69.000,103,277829,0.000371,148,1.44,NaN,NaN,NaN,NaN
Cholecystectomy,38102005,69.000,103,277829,0.000371,143,1.39,NaN,NaN,NaN,NaN
Risk of exposure to communicable disease,443999008,70.000,103,277829,0.000371,107,1.04,NaN,NaN,,NaN
Information gathering,311791003,69.000,103,277829,0.000371,141,1.37,NaN,NaN,NaN,NaN
Disabled driver orange badge report,270372007,69.000,103,277829,0.000371,122,1.18,NaN,NaN,NaN,NaN
Wound finding,225552003,70.000,102,277829,0.000367,392,3.84,NaN,NaN,NaN,NaN
Unilateral earache,162358006,69.000,102,277829,0.000367,115,1.13,NaN,NaN,NaN,NaN
Chronic obstructive pulmonary disease monitoring verbal invite,716281000000103,69.000,102,277829,0.000367,109,1.07,NaN,NaN,NaN,NaN
Bereavement reaction,74506000,69.000,102,277829,0.000367,173,1.7,NaN,NaN,NaN,NaN
Cardiovascular clinic,185920002,69.000,102,277829,0.000367,122,1.2,NaN,NaN,NaN,NaN
Atrial fibrillation monitoring administration,713801000000102,69.000,102,277829,0.000367,112,1.1,NaN,NaN,NaN,NaN
Swelling of lower leg,449615005,70.000,102,277829,0.000367,165,1.62,NaN,NaN,NaN,NaN
Fasting blood test due,761893003,69.000,102,277829,0.000367,106,1.04,NaN,NaN,NaN,NaN
Seen in colposcopy clinic,185243000,69.000,102,277829,0.000367,123,1.21,NaN,NaN,NaN,NaN
Genital lichen sclerosus,238932004,69.000,102,277829,0.000367,131,1.28,NaN,NaN,NaN,NaN
Complaining of weight loss,198511000000103,69.000,102,277829,0.000367,128,1.25,NaN,NaN,NaN,NaN
Seen by community heart failure nurse,417359009,69.000,102,277829,0.000367,216,2.12,NaN,NaN,NaN,NaN
Referral to dermatologist,308472003,69.000,102,277829,0.000367,110,1.08,NaN,NaN,NaN,NaN
Ear syringing not completed,784931000000103,69.000,102,277829,0.000367,117,1.15,NaN,NaN,NaN,NaN
Infectious mononucleosis test,993571000000102,69.000,102,277829,0.000367,105,1.03,NaN,NaN,NaN,NaN
Extended intervention for excessive alcohol consumption completed,366421000000103,69.000,102,277829,0.000367,105,1.03,,,,
Patient record merged,518411000000109,69.000,102,277829,0.000367,103,1.01,NaN,NaN,NaN,NaN
O/E - reduced joint movement,164533004,69.000,102,277829,0.000367,103,1.01,,,,
HGV - Heavy goods vehicle examination,171348006,70.000,102,277829,0.000367,105,1.03,NaN,NaN,NaN,NaN
Seen by tissue viability nurse specialist,408341000,69.000,102,277829,0.000367,131,1.28,NaN,NaN,NaN,NaN
Patient referral choice not available,280421000000107,69.000,102,277829,0.000367,123,1.21,NaN,NaN,NaN,NaN
Urine specimen collection,57617002,69.000,102,277829,0.000367,126,1.24,NaN,NaN,NaN,NaN
Problem situation,276099005,69.000,102,277829,0.000367,147,1.44,NaN,NaN,NaN,NaN
Urine dipstick for glucose,1003181000000102,69.000,102,277829,0.000367,148,1.45,,,,
"Ear, nose and throat examination - no abnormality detected",164177002,69.000,102,277829,0.000367,107,1.05,NaN,NaN,NaN,NaN
Anxiousness - symptom,48694002,69.000,102,277829,0.000367,137,1.34,NaN,NaN,,NaN
"MED3 (2010) issued by hand, not fit for work",751731000000106,69.000,102,277829,0.000367,179,1.75,NaN,NaN,NaN,NaN
Referral to podiatrist,308451001,70.000,102,277829,0.000367,104,1.02,NaN,NaN,NaN,NaN
Shared electronic record administration,417753008,69.000,102,277829,0.000367,102,1,NaN,NaN,NaN,NaN
Total diet replacement programme declined,1239581000000107,69.000,102,277829,0.000367,112,1.1,NaN,NaN,NaN,NaN
Prescription,163501000000109,69.000,102,277829,0.000367,135,1.32,NaN,NaN,NaN,NaN
High risk drug monitoring - shared care,205801000000109,69.000,102,277829,0.000367,239,2.34,NaN,NaN,NaN,NaN
Helicobacter serology positive,168271003,69.000,102,277829,0.000367,121,1.19,NaN,NaN,NaN,NaN
Combined total vitamin D2 and D3 level,996641000000102,69.000,101,277829,0.000364,105,1.04,94.69223301,78,58.112572784,40
Signposting to general practice extended hours service,1085251000000102,69.000,101,277829,0.000364,104,1.03,NaN,NaN,NaN,NaN
Psoriatic arthropathy,33339001,69.000,101,277829,0.000364,207,2.05,NaN,NaN,NaN,NaN
Plain chest X-ray,399208008,69.000,101,277829,0.000364,117,1.16,NaN,NaN,NaN,NaN
Stage 1 hypertension (NICE 2011) without evidence of end organ damage,908631000000108,69.000,101,277829,0.000364,167,1.65,NaN,NaN,NaN,NaN
Adverse reaction to Penicillins,1013271000006101,69.000,101,277829,0.000364,102,1.01,,,,
Arthroscopic decompression of subacromial joint,335761000000104,69.000,101,277829,0.000364,171,1.69,NaN,NaN,NaN,NaN
Further opinion sought,310343007,70.000,101,277829,0.000364,121,1.2,NaN,NaN,NaN,NaN
Referral to smoking cessation service,871661000000106,69.000,101,277829,0.000364,106,1.05,NaN,NaN,NaN,NaN
Therapeutic lumbar epidural injection,171788003,69.000,101,277829,0.000364,114,1.13,NaN,NaN,NaN,NaN
Acute tracheitis,26650005,69.000,101,277829,0.000364,113,1.12,NaN,NaN,NaN,NaN
Moderate drinker,43783005,69.000,101,277829,0.000364,137,1.36,NaN,NaN,,NaN
Treatment dose changed,275975001,69.000,101,277829,0.000364,108,1.07,NaN,NaN,NaN,NaN
Independent transfer from bed to chair,715125006,69.000,101,277829,0.000364,106,1.05,NaN,NaN,NaN,NaN
Traumatic wound,945771000000102,69.000,101,277829,0.000364,236,2.34,NaN,NaN,NaN,NaN
Angiotensin II receptor antagonist not tolerated,407565004,70.000,101,277829,0.000364,111,1.1,NaN,NaN,NaN,NaN
Aortic valve regurgitation,60234000,69.000,101,277829,0.000364,109,1.08,NaN,NaN,NaN,NaN
Referral to older age community mental health team,199091000000105,69.000,101,277829,0.000364,109,1.08,NaN,NaN,NaN,NaN
Seen by chiropodist,185303007,69.000,101,277829,0.000364,123,1.22,NaN,NaN,NaN,NaN
In-house dietetics,185495006,69.000,101,277829,0.000364,141,1.4,NaN,NaN,NaN,NaN
Serum cholesterol NOS,1005671000000105,69.000,101,277829,0.000364,118,1.17,NaN,5.4,NaN,0
Referral letter status,413090001,69.000,101,277829,0.000364,120,1.19,,,,
Urine screening,171245007,69.000,101,277829,0.000364,105,1.04,NaN,NaN,NaN,NaN
Nasal infection,275496003,69.000,101,277829,0.000364,108,1.07,NaN,NaN,NaN,NaN
Sarcoidosis,31541009,69.000,100,277829,0.00036,173,1.73,NaN,NaN,NaN,NaN
Serum random HDL (high density lipoprotein) cholesterol level,1026461000000104,69.000,100,277829,0.00036,106,1.06,1.580729167,1.365,0.8531282927,1.2
Angiotensin converting enzyme inhibitor declined,134397009,69.000,100,277829,0.00036,105,1.05,NaN,NaN,NaN,NaN
No thoughts of self harm,18321000006104,69.000,100,277829,0.00036,106,1.06,NaN,NaN,NaN,NaN
Learning disabilities health assessment,413126003,69.000,100,277829,0.00036,120,1.2,NaN,NaN,NaN,NaN
Trimethoprim adverse reaction,292939004,69.000,100,277829,0.00036,100,1,NaN,NaN,NaN,NaN
O/E - visual acuity L-eye =6/4,390805005,69.000,100,277829,0.00036,105,1.05,NaN,NaN,NaN,NaN
O/E - crackles,162965007,69.000,100,277829,0.00036,106,1.06,NaN,NaN,,NaN
HEp-2 (human epithelial type 2) nuclear pattern,996701000000107,69.000,100,277829,0.00036,105,1.05,,,,
Clinic B monitoring 1st letter,8991000000105,69.000,100,277829,0.00036,101,1.01,NaN,NaN,,NaN
QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation,1110931000000103,69.000,100,277829,0.00036,142,1.42,NaN,NaN,NaN,NaN
Routine appointment,2019541000006105,70.000,100,277829,0.00036,142,1.42,NaN,NaN,NaN,NaN
Asthma education,401135008,69.000,100,277829,0.00036,115,1.15,NaN,NaN,NaN,NaN
Adverse reaction to Clarithromycin,1061221000006100,69.000,100,277829,0.00036,100,1,NaN,NaN,,NaN
Perforation of tympanic membrane,60442001,69.000,100,277829,0.00036,117,1.17,NaN,NaN,NaN,NaN
Disorder of nail,17790008,69.000,100,277829,0.00036,125,1.25,NaN,NaN,NaN,NaN
Angular cheilitis,266429005,69.000,100,277829,0.00036,123,1.23,NaN,NaN,NaN,NaN
Health education - testicular examination,281094008,69.000,100,277829,0.00036,105,1.05,NaN,NaN,NaN,NaN
Vitreous haemorrhage,31341008,70.000,100,277829,0.00036,141,1.41,NaN,NaN,NaN,NaN
Patient education,311401005,69.000,100,277829,0.00036,143,1.43,NaN,NaN,NaN,NaN
Community clinic note,25791000000105,70.000,100,277829,0.00036,425,4.25,NaN,NaN,NaN,NaN
Attended DESMOND structured programme,276651000000107,69.000,100,277829,0.00036,107,1.07,NaN,NaN,NaN,NaN
Referral to National Health Service stop smoking service,505281000000106,69.000,100,277829,0.00036,107,1.07,NaN,NaN,,NaN
O/E - visual fields normal,164002009,69.000,100,277829,0.00036,101,1.01,NaN,NaN,NaN,NaN
Mental health information leaflet given,200041000000107,69.000,100,277829,0.00036,104,1.04,NaN,NaN,,NaN
Nitrofurantoin adverse reaction,292940002,69.000,100,277829,0.00036,100,1,NaN,NaN,NaN,NaN
Left ventricular failure,85232009,69.000,100,277829,0.00036,248,2.48,NaN,NaN,NaN,NaN
Dependent for dressing,129065005,69.000,100,277829,0.00036,115,1.15,NaN,NaN,NaN,NaN
White blood cell count,767002,69.000,100,277829,0.00036,136,1.36,NaN,87,NaN,NaN
Signposting to community physiotherapist,1083241000000104,69.000,100,277829,0.00036,106,1.06,NaN,NaN,,NaN
Renal impairment,236423003,69.000,100,277829,0.00036,144,1.44,NaN,NaN,NaN,NaN
Endoscopic procedure,363687006,69.000,100,277829,0.00036,113,1.13,NaN,NaN,,NaN
Problem knee,309566008,69.000,100,277829,0.00036,110,1.1,NaN,NaN,NaN,NaN
O/E - Absent right foot pulses,308072006,69.000,100,277829,0.00036,102,1.02,NaN,NaN,NaN,NaN
Follow-up examination normal,185388001,69.000,100,277829,0.00036,129,1.29,NaN,NaN,NaN,NaN
Preferred method of contact: email address,1929351000006104,69.000,100,277829,0.00036,104,1.04,NaN,NaN,NaN,NaN
Independent for grooming,704437004,69.000,100,277829,0.00036,106,1.06,NaN,NaN,,NaN
O/E - eye movements normal,164045002,70.000,100,277829,0.00036,101,1.01,NaN,NaN,NaN,NaN
Throat soreness,162397003,69.000,100,277829,0.00036,110,1.1,NaN,NaN,,NaN
Referral to leg ulcer clinic,198051000000107,69.000,99,277829,0.000356,111,1.12,NaN,NaN,NaN,NaN
HMG COA reductase inhibitor adverse reaction,293432006,69.000,99,277829,0.000356,109,1.1,NaN,NaN,NaN,NaN
Ethnic category - 2011 census England and Wales,976571000000100,69.000,99,277829,0.000356,101,1.02,NaN,NaN,NaN,NaN
O/E - vibration sense absent,163746000,69.000,99,277829,0.000356,104,1.05,NaN,NaN,NaN,NaN
Manual removal of wax from external auditory canal,172631009,69.000,99,277829,0.000356,116,1.17,NaN,NaN,NaN,NaN
Sprain of ankle,44465007,69.000,99,277829,0.000356,111,1.12,NaN,NaN,NaN,NaN
Minor surgery done - other,314471005,69.000,99,277829,0.000356,109,1.1,NaN,NaN,NaN,NaN
Renal stone,95570007,69.000,99,277829,0.000356,121,1.22,NaN,NaN,NaN,NaN
Adult education,161125007,69.000,99,277829,0.000356,107,1.08,,,,
Medication review overdue,1878731000006109,69.000,99,277829,0.000356,100,1.01,,,,
Medication stopped - ineffective,395007004,69.000,99,277829,0.000356,101,1.02,NaN,NaN,NaN,NaN
Seen by dermatologist,305670001,69.000,99,277829,0.000356,113,1.14,NaN,NaN,NaN,NaN
Colon polyp,68496003,69.000,99,277829,0.000356,118,1.19,NaN,NaN,NaN,NaN
O/E - Absent left foot pulses,308073001,69.000,99,277829,0.000356,102,1.03,NaN,NaN,NaN,NaN
Capillary blood sampling,1048003,69.000,99,277829,0.000356,102,1.03,NaN,NaN,NaN,NaN
Review of patient at risk from coronary heart disease,286721000000101,69.000,99,277829,0.000356,104,1.05,,,,
Estimated glomerular filtration rate (eGFR) monitoring,1744631000006108,69.000,99,277829,0.000356,132,1.33,NaN,90,NaN,90
O/E - visual acuity L-eye=6/36,163956008,69.000,99,277829,0.000356,102,1.03,NaN,NaN,NaN,NaN
Dermoscopic photography,1744441000006100,69.000,99,277829,0.000356,103,1.04,NaN,NaN,NaN,NaN
Recommendation to continue with drug treatment,306806004,69.000,99,277829,0.000356,108,1.09,NaN,NaN,NaN,NaN
Arthralgia of hip,49218002,69.000,99,277829,0.000356,136,1.37,NaN,NaN,NaN,NaN
[D]Insomnia NOS,193462001,69.000,99,277829,0.000356,150,1.52,NaN,NaN,NaN,NaN
Psoriatic arthritis,156370009,69.000,99,277829,0.000356,177,1.79,NaN,NaN,NaN,NaN
Venous ulcer of leg,402863005,69.000,99,277829,0.000356,346,3.49,NaN,NaN,NaN,NaN
Lymphadenopathy,30746006,69.000,99,277829,0.000356,120,1.21,NaN,NaN,NaN,NaN
Delirium,2776000,70.000,99,277829,0.000356,119,1.2,NaN,NaN,NaN,NaN
Vitiligo,56727007,69.000,99,277829,0.000356,141,1.42,NaN,NaN,NaN,NaN
Aortic aneurysm,67362008,70.000,98,277829,0.000353,168,1.71,NaN,NaN,NaN,NaN
6CIT score - repeat address phrase,1841271000006105,70.000,98,277829,0.000353,100,1.02,NaN,2,NaN,0
Referral to pre-diabetes structured education programme,1920581000006109,69.000,98,277829,0.000353,101,1.03,,,,
Referral to psychology service declined,718700006,70.000,98,277829,0.000353,106,1.08,NaN,NaN,NaN,NaN
Sigmoidoscopy normal,415527002,69.000,98,277829,0.000353,103,1.05,NaN,NaN,NaN,NaN
Medical reports sent,185008008,69.000,98,277829,0.000353,105,1.07,NaN,NaN,NaN,NaN
Urine sample for organism,269949006,69.000,98,277829,0.000353,128,1.31,NaN,NaN,NaN,NaN
Thrombophlebitis,64156001,70.000,98,277829,0.000353,129,1.32,NaN,NaN,NaN,NaN
Breast screening - second call,185703009,69.000,98,277829,0.000353,98,1,NaN,NaN,NaN,NaN
Rubber band ligation of haemorrhoid(s),174359003,69.000,98,277829,0.000353,117,1.19,NaN,NaN,,NaN
Seen in immunology clinic,25281000000103,69.000,98,277829,0.000353,121,1.23,NaN,NaN,,NaN
Seen in hearing aid clinic,313152005,69.000,98,277829,0.000353,102,1.04,NaN,NaN,NaN,NaN
Haematospermia,34615008,69.000,98,277829,0.000353,132,1.35,NaN,NaN,NaN,NaN
Repeat prescription reviewed by hospital,170930003,69.000,98,277829,0.000353,172,1.76,NaN,NaN,NaN,NaN
Car driver,106538001,69.000,98,277829,0.000353,111,1.13,NaN,NaN,NaN,NaN
Hip DXA scan Z score,391067006,69.000,98,277829,0.000353,100,1.02,0.23,0.1,0.9757048734,0.1
Independent on stairs,165249009,69.000,98,277829,0.000353,105,1.07,NaN,NaN,NaN,NaN
BP screening - second call,185666009,70.000,98,277829,0.000353,101,1.03,NaN,NaN,NaN,NaN
Cardiovascular symptoms,267037003,69.000,98,277829,0.000353,262,2.67,NaN,16,NaN,NaN
Giant cell arteritis,414341000,69.000,98,277829,0.000353,242,2.47,NaN,NaN,NaN,NaN
Adverse reaction to substance,282100009,69.000,98,277829,0.000353,117,1.19,NaN,NaN,NaN,NaN
O/E - cataract present,162811006,69.000,98,277829,0.000353,128,1.31,NaN,NaN,,NaN
Reactive depression (situational),87414006,69.500,98,277829,0.000353,174,1.78,NaN,NaN,NaN,NaN
Mental health crisis plan,736253002,69.000,98,277829,0.000353,113,1.15,NaN,NaN,NaN,NaN
Hip DXA scan result osteoporotic,391070005,69.000,98,277829,0.000353,99,1.01,NaN,2.325,NaN,NaN
Plain X-ray spine,79760008,69.000,98,277829,0.000353,102,1.04,NaN,0,NaN,0
O/E - throat,272020001,69.000,98,277829,0.000353,108,1.1,NaN,NaN,NaN,NaN
Diabetic 3 month review,1876341000006101,69.000,98,277829,0.000353,112,1.14,NaN,NaN,,NaN
Hepatitis C antibody level,998771000000103,69.000,98,277829,0.000353,98,1,NaN,NaN,NaN,NaN
In employment,224363007,69.000,98,277829,0.000353,112,1.14,NaN,NaN,,NaN
Patient registration miscellaneous data,184139002,69.000,98,277829,0.000353,129,1.32,NaN,429180,NaN,429180
Hypertens.monitoring admin.NOS,713641000000103,69.000,98,277829,0.000353,103,1.05,,,,
Visit out of hours,185463005,69.000,98,277829,0.000353,107,1.09,NaN,NaN,NaN,NaN
Coronary artery bypass graft,232717009,69.000,98,277829,0.000353,148,1.51,NaN,NaN,NaN,NaN
Peripheral vascular disease annual review,1696201000006105,69.000,98,277829,0.000353,103,1.05,NaN,NaN,NaN,NaN
Failed encounter - hospital appointment,893561000000100,69.000,98,277829,0.000353,107,1.09,NaN,NaN,NaN,NaN
Tearful,271951008,69.000,97,277829,0.000349,110,1.13,NaN,NaN,,NaN
Femoral neck DXA scan result osteopenic,440099005,69.000,97,277829,0.000349,107,1.1,NaN,NaN,NaN,NaN
Signposting to nurse,1084421000000109,69.000,97,277829,0.000349,105,1.08,NaN,NaN,NaN,NaN
Effusion of knee,202381003,69.000,97,277829,0.000349,120,1.24,NaN,NaN,NaN,NaN
Suture of skin,391906003,69.000,97,277829,0.000349,99,1.02,NaN,1,NaN,0
No exudate odour,1997201000006107,70.000,97,277829,0.000349,243,2.51,NaN,NaN,NaN,NaN
Hyperglycaemia,960581000006101,69.000,97,277829,0.000349,112,1.15,NaN,NaN,NaN,NaN
Bipolar affective disorder,13746004,69.000,97,277829,0.000349,231,2.38,NaN,NaN,NaN,NaN
Seen by urgent care team,515581000000105,69.000,97,277829,0.000349,109,1.12,NaN,NaN,,NaN
Cirrhosis of liver,19943007,69.500,97,277829,0.000349,160,1.65,NaN,NaN,NaN,NaN
Transvaginal ultrasound scan,13205008,69.000,97,277829,0.000349,104,1.07,NaN,NaN,NaN,NaN
Advice about posture,313211008,69.000,97,277829,0.000349,116,1.2,NaN,NaN,NaN,NaN
[D]LFT's abnormal,166603001,69.000,97,277829,0.000349,137,1.41,NaN,NaN,NaN,NaN
Thyroid function tests normal,312397004,69.000,97,277829,0.000349,102,1.05,NaN,NaN,NaN,NaN
Health education - hormone replacement therapy,394937002,69.000,97,277829,0.000349,110,1.13,NaN,NaN,NaN,NaN
